Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
55.75,TraderOne,Tick,281,296,-15,15,147100,146900,5276,-13576,-16576,OK
55.953,TraderOne,Tick,281,296,-15,15,147100,146900,5276,-13576,-16576,OK
56.234,TraderOne,Tick,281,296,-15,15,147100,147100,5276,-13576,-13576,OK
56.469,TraderOne,Tick,281,296,-15,15,147100,147100,5276,-13576,-13576,OK
56.75,TraderOne,Tick,281,296,-15,15,147100,147100,5276,-13576,-13576,OK
57.016,TraderOne,Tick,281,296,-15,15,147100,147100,5276,-13576,-13576,OK
57.25,TraderOne,Tick,281,306,-25,25,147100,147100,5570,-11870,-11870,OK
57.469,TraderOne,Tick,281,306,-25,25,147100,146800,5570,-11870,-16870,OK
57.797,TraderOne,Tick,281,316,-35,35,147000,146600,5865,-8565,-15565,OK
58.016,TraderOne,Tick,281,316,-35,35,147000,146600,5865,-8565,-15565,OK
58.234,TraderOne,Tick,281,316,-35,35,147000,146600,5865,-8565,-15565,OK
58.5,TraderOne,Tick,281,316,-35,35,147000,146700,5865,-8565,-15565,OK
58.797,TraderOne,Tick,281,316,-35,35,147000,146700,5865,-8565,-15565,OK
58.938,TraderOne,Tick,281,316,-35,35,147000,146700,5865,-8565,-15565,OK
59.234,TraderOne,Tick,281,316,-35,35,147000,146700,5865,-8565,-15565,OK
59.531,TraderOne,Tick,281,326,-45,45,147000,146500,6159,-4859,-13859,OK
59.734,TraderOne,Tick,281,326,-45,45,147000,146500,6159,-4859,-13859,OK
59.984,TraderOne,Tick,281,326,-45,45,147000,146500,6159,-4859,-13859,OK
60.281,TraderOne,Tick,281,326,-45,45,147000,146700,6159,-4859,-13859,OK
60.547,TraderOne,Tick,291,326,-35,35,147200,146700,6453,-10153,-17153,OK
60.781,TraderOne,Tick,291,326,-35,35,147200,146600,6453,-10153,-17153,OK
60.984,TraderOne,Tick,291,329,-38,38,147000,146500,6541,-9341,-16941,OK
61.219,TraderOne,Tick,291,329,-38,38,147000,146500,6541,-9341,-16941,OK
61.5,TraderOne,Tick,291,329,-38,38,147000,146500,6541,-9341,-16941,OK
61.734,TraderOne,Tick,291,329,-38,38,147000,146500,6541,-9341,-16941,OK
62.0,TraderOne,Tick,291,329,-38,38,147000,146500,6541,-9341,-16941,OK
62.266,TraderOne,Tick,291,329,-38,38,147000,146500,6541,-9341,-16941,OK
62.469,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
62.719,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
63.016,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
63.25,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
63.547,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
63.766,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
64.031,TraderOne,Tick,291,339,-48,48,146700,146300,6835,-3635,-13235,OK
64.219,TraderOne,Tick,301,339,-38,38,146700,146300,7129,-7929,-15529,OK
64.516,TraderOne,Tick,301,339,-38,38,146700,146300,7129,-7929,-15529,OK
64.766,TraderOne,Tick,301,339,-38,38,146700,146300,7129,-7929,-15529,OK
65.016,TraderOne,Tick,301,339,-38,38,146700,146300,7129,-7929,-15529,OK
65.266,TraderOne,Tick,301,339,-38,38,146700,146900,7129,-7929,-329,OK
65.469,TraderOne,Tick,301,339,-38,38,146700,146900,7129,-7929,-329,OK
65.719,TraderOne,Tick,301,339,-38,38,146700,146900,7129,-7929,-329,OK
66.047,TraderOne,Tick,311,339,-28,28,146600,146900,6982,-11782,-6182,OK
66.219,TraderOne,Tick,311,339,-28,28,146600,146900,6982,-11782,-6182,OK
66.469,TraderOne,Tick,311,349,-38,38,147300,146900,6835,-7635,-15235,OK
66.719,TraderOne,Tick,311,349,-38,38,147300,146900,6835,-7635,-15235,OK
67.031,TraderOne,Tick,321,349,-28,28,146500,146900,6688,-11488,-5888,OK
67.219,TraderOne,Tick,321,349,-28,28,146500,146900,6688,-11488,-5888,OK
67.516,TraderOne,Tick,331,349,-18,18,146900,146900,6541,-13341,-13341,OK
67.781,TraderOne,Tick,341,349,-8,8,146900,146900,6835,-15635,-15635,OK
68.0,TraderOne,Tick,341,349,-8,8,146900,146900,6835,-15635,-15635,OK
68.266,TraderOne,Tick,341,359,-18,18,146900,146900,6688,-15488,-15488,OK
68.531,TraderOne,Tick,351,369,-18,18,146500,146900,6835,-14635,-11035,OK
68.766,TraderOne,Tick,351,369,-18,18,146500,147200,6835,-14635,-11035,OK
69.016,TraderOne,Tick,351,369,-18,18,146500,147200,6835,-14635,-11035,OK
69.219,TraderOne,Tick,351,379,-28,28,147500,147200,6688,-12488,-18088,OK
69.531,TraderOne,Tick,351,379,-28,28,147500,147200,6688,-12488,-18088,OK
69.719,TraderOne,Tick,351,379,-28,28,147500,147300,6688,-12488,-18088,OK
69.969,TraderOne,Tick,351,379,-28,28,147500,147300,6688,-12488,-18088,OK
70.25,TraderOne,Tick,351,379,-28,28,147500,147300,6688,-12488,-18088,OK
70.563,TraderOne,Tick,351,379,-28,28,147500,147300,6688,-12488,-18088,OK
70.797,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
71.0,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
71.297,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
71.531,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
71.719,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
71.984,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
72.203,TraderOne,Tick,361,379,-18,18,146500,147300,6541,-15341,-11741,OK
72.484,TraderOne,Tick,361,389,-28,28,147500,147300,6393,-14193,-19793,OK
72.734,TraderOne,Tick,361,389,-28,28,147500,147300,6393,-14193,-19793,OK
73.063,TraderOne,Tick,371,389,-18,18,147600,147300,6688,-17488,-21088,OK
73.281,TraderOne,Tick,371,389,-18,18,147600,147300,6688,-17488,-21088,OK
73.531,TraderOne,Tick,371,389,-18,18,147600,147200,6688,-17488,-21088,OK
73.719,TraderOne,Tick,371,389,-18,18,147600,147200,6688,-17488,-21088,OK
74.0,TraderOne,Tick,371,389,-18,18,147600,147200,6688,-17488,-21088,OK
74.25,TraderOne,Tick,381,389,-8,8,147600,147200,6983,-19783,-21383,OK
74.547,TraderOne,Tick,381,399,-18,18,147500,147200,7278,-19078,-22678,OK
74.766,TraderOne,Tick,381,399,-18,18,147500,147200,7278,-19078,-22678,OK
75.0,TraderOne,Tick,381,399,-18,18,147500,147200,7278,-19078,-22678,OK
75.266,TraderOne,Tick,381,399,-18,18,147500,147400,7278,-19078,-20878,OK
75.469,TraderOne,Tick,381,399,-18,18,147500,147400,7278,-19078,-20878,OK
75.703,TraderOne,Tick,381,399,-18,18,147500,147400,7278,-19078,-20878,OK
76.016,TraderOne,Tick,381,399,-18,18,147500,147400,7278,-19078,-20878,OK
76.281,TraderOne,Tick,381,399,-18,18,147500,147400,7278,-19078,-20878,OK
76.516,TraderOne,Tick,391,399,-8,8,147600,147500,7573,-21373,-22173,OK
76.797,TraderOne,Tick,401,399,2,-2,147600,147600,7868,-22668,-22668,OK
77.016,TraderOne,Tick,401,399,2,-2,147600,147600,7868,-22668,-22668,OK
77.281,TraderOne,Tick,401,409,-8,8,147500,147600,8163,-21963,-21163,OK
77.516,TraderOne,Tick,401,419,-18,18,147500,147600,8458,-21258,-19458,OK
77.719,TraderOne,Tick,411,419,-8,8,147400,147600,8311,-23111,-21511,OK
78.0,TraderOne,Tick,411,419,-8,8,147400,147600,8311,-23111,-21511,OK
78.281,TraderOne,Tick,411,419,-8,8,147400,147600,8311,-23111,-21511,OK
78.484,TraderOne,Tick,421,419,2,-2,147400,147600,8606,-24406,-24806,OK
78.719,TraderOne,Tick,421,419,2,-2,147400,147600,8606,-24406,-24806,OK
78.984,TraderOne,Tick,421,419,2,-2,147400,147600,8606,-24406,-24806,OK
79.25,TraderOne,Tick,431,419,12,-12,147400,147600,8901,-22701,-25101,OK
79.453,TraderOne,Tick,441,419,22,-22,147400,147600,9196,-20996,-25396,OK
79.781,TraderOne,Tick,451,419,32,-32,147600,148500,9491,-19091,-25491,OK
79.969,TraderOne,Tick,461,419,42,-42,147800,148400,9787,-13387,-21787,OK
80.297,TraderOne,Tick,465,419,46,-46,147800,148400,9905,-11905,-21105,OK
80.5,TraderOne,Tick,475,419,56,-56,147900,148400,10201,-8201,-19401,OK
80.703,TraderOne,Tick,475,419,56,-56,147900,148400,10201,-8201,-19401,OK
81.047,TraderOne,Tick,475,419,56,-56,147900,148400,10201,-8201,-19401,OK
81.266,TraderOne,Tick,475,419,56,-56,147900,148200,10201,-8201,-19401,OK
81.531,TraderOne,Tick,475,419,56,-56,147900,148400,10201,-8201,-19401,OK
81.719,TraderOne,Tick,475,429,46,-46,148000,148400,10053,-17053,-26253,OK
82.016,TraderOne,Tick,485,429,56,-56,148000,148400,10349,-13349,-24549,OK
